"donor_id","age","gender","country","region","segment","birth_year","age_at_observation","recency_days_12m","frequency_12m","monetary_total_12m","monetary_mean_12m","monetary_max_12m","monetary_min_12m","recency_days_24m","frequency_24m","monetary_total_24m","monetary_mean_24m","monetary_max_24m","monetary_min_24m","amount_trend","count_trend","amount_growth","lifetime_donations","lifetime_amount","days_since_first","days_since_last","donor_age_days","avg_days_between","is_new_donor","target_donated","target_amount"
60,78,"M","UK","East","Silver",1940,78,310,1,91.95,91.95,91.95,91.95,310,4,241.57,60.3925,99.26,12.63,0,0,-0.958311620635748,15,1159.3,1984,310,1984,141.714285714286,0,1,74.59
73,77,"M","UK","South","Bronze",1941,77,162,1,71.25,71.25,71.25,71.25,162,1,71.25,71.25,71.25,71.25,0,0,-0.946843853820598,4,300.44,1873,162,1873,624.333333333333,0,0,0
94,40,"M","USA","North","Gold",1978,40,215,2,256.68,128.34,188.65,68.03,215,4,529.74,132.435,188.65,68.03,0,0,-0.984655516341875,14,1941.08,2267,215,2267,174.384615384615,0,1,224.22
95,18,"F","USA","East","Bronze",2000,18,341,1,54.03,54.03,54.03,54.03,341,1,54.03,54.03,54.03,54.03,0,0,-0.931070136136481,5,210.46,1648,341,1648,412,0,0,0
102,52,"F","USA","South","Silver",1966,52,248,2,134,67,70.27,63.73,248,3,184.43,61.4766666666667,70.27,50.43,0,0,-0.971014492753623,12,789.22,2124,248,2124,193.090909090909,0,1,95.06
110,55,"F","Canada","North","Bronze",1963,55,365,0,0,0,0,0,457,2,103.3,51.65,93.05,10.25,0,0,0,3,114.8,1114,457,1114,557,0,0,0
113,18,"F","UK","West","Bronze",2000,18,365,0,0,0,0,0,394,2,94.14,47.07,71.94,22.2,0,0,0,4,167.52,1909,394,1909,636.333333333333,0,0,0
115,52,"F","USA","South","Silver",1966,52,365,0,0,0,0,0,417,2,111.51,55.755,77.17,34.34,0,0,0,14,1086.17,2211,417,2211,170.076923076923,0,0,0
124,73,"M","Germany","Central","Gold",1945,73,281,1,90.74,90.74,90.74,90.74,281,4,420.02,105.005,139.26,56.14,0,0,-0.957779185138273,20,2487.2,2207,281,2207,116.157894736842,0,1,323.72
136,26,"M","UK","North","Gold",1992,26,146,2,320.19,160.095,172.46,147.73,146,7,958.21,136.887142857143,207.05,53.34,0,0,-0.987661556494648,25,3144.07,2275,146,2275,94.7916666666667,0,0,0
139,57,"F","USA","East","Bronze",1961,57,201,1,37.95,37.95,37.95,37.95,201,1,37.95,37.95,37.95,37.95,0,0,-0.904648390941597,4,244.11,2102,201,2102,700.666666666667,0,1,65.03
140,95,"M","UK","South","Gold",1923,95,365,0,0,0,0,0,447,2,222.39,111.195,146.48,75.91,0,0,0,11,1442.34,1854,447,1854,185.4,0,0,0
147,66,"M","USA","Central","Silver",1952,66,148,2,162.58,81.29,88.69,73.89,148,4,296.42,74.105,104.79,29.05,0,0,-0.975987513507024,8,661.72,2242,148,2242,320.285714285714,0,0,0
152,50,"M","USA","East","Bronze",1968,50,315,1,10,10,10,10,315,2,52.24,26.12,42.24,10,0,0,-0.714285714285714,8,387.16,2174,315,2174,310.571428571429,0,0,0
159,57,"F","Canada","East","Silver",1961,57,271,1,93.47,93.47,93.47,93.47,271,3,202.69,67.5633333333333,93.47,45.26,0,0,-0.958961731814917,12,1001.77,2120,271,2120,192.727272727273,0,0,0
161,75,"F","Canada","East","Gold",1943,75,278,1,143.75,143.75,143.75,143.75,278,7,1094.84,156.405714285714,198.89,85.33,0,0,-0.972927241962775,16,2399.3,2271,278,2271,151.4,0,0,0
164,58,"M","USA","West","Silver",1960,58,365,0,0,0,0,0,426,1,10,10,10,10,0,0,0,6,315.67,2160,426,2160,432,0,0,0
170,59,"M","USA","North","Silver",1959,59,152,1,15.76,15.76,15.76,15.76,152,4,274.54,68.635,132.57,15.76,0,0,-0.797570850202429,13,926.67,2257,152,2257,188.083333333333,0,0,0
185,65,"M","USA","South","Gold",1953,65,236,2,187.76,93.88,113.32,74.44,236,9,1221.63,135.736666666667,299.46,64.38,0,0,-0.979140592407176,24,3013.24,2254,236,2254,98,0,1,285.19
188,48,"M","USA","West","Gold",1970,48,215,2,241.55,120.775,148.79,92.76,215,4,572.07,143.0175,196.46,92.76,0,0,-0.983710038688658,17,2260.36,2215,215,2215,138.4375,0,0,0
193,35,"M","USA","West","Silver",1983,35,258,1,44.24,44.24,44.24,44.24,258,4,292.17,73.0425,118.54,44.24,0,0,-0.917081260364842,7,599.54,2207,258,2207,367.833333333333,0,0,0
203,39,"F","Germany","East","Bronze",1979,39,334,1,47.64,47.64,47.64,47.64,334,2,58.32,29.16,47.64,10.68,0,0,-0.922540666150271,4,105.03,1777,334,1777,592.333333333333,0,0,0
204,91,"F","Germany","West","Silver",1927,91,242,1,61.94,61.94,61.94,61.94,242,1,61.94,61.94,61.94,61.94,0,0,-0.939338792841978,8,742.41,2121,242,2121,303,0,1,35.21
214,56,"F","France","South","Bronze",1962,56,193,2,166.77,83.385,98.47,68.3,193,2,166.77,83.385,98.47,68.3,0,0,-0.976576682087018,6,300.79,2271,193,2271,454.2,0,1,98.53
222,75,"M","USA","South","Gold",1943,75,319,1,137.86,137.86,137.86,137.86,319,6,1071.94,178.656666666667,225.89,100.53,0,0,-0.971803186239955,20,2564.74,2244,319,2244,118.105263157895,0,0,0
228,79,"M","UK","Central","Bronze",1939,79,365,0,0,0,0,0,366,2,64.55,32.275,41.04,23.51,0,0,0,4,123.33,2132,366,2132,710.666666666667,0,0,0
229,50,"F","USA","South","Silver",1968,50,365,0,0,0,0,0,468,2,252.19,126.095,128.02,124.17,0,0,0,9,857.51,2258,468,2258,282.25,0,0,0
231,58,"F","USA","North","Gold",1960,58,130,4,523.85,130.9625,201.3,67.1,130,9,1151.89,127.987777777778,201.3,67.1,0,0,-0.99242208960879,24,3253.36,2173,130,2173,94.4782608695652,0,0,0
233,47,"F","USA","East","Bronze",1971,47,338,1,31.07,31.07,31.07,31.07,338,1,31.07,31.07,31.07,31.07,0,0,-0.885942400912461,6,266.36,2286,338,2286,457.2,0,0,0
234,76,"F","USA","Central","Silver",1942,76,365,0,0,0,0,0,434,3,267.23,89.0766666666667,153.11,50.09,0,0,0,9,959.03,2302,434,2302,287.75,0,0,0
236,62,"F","USA","South","Gold",1956,62,226,2,202.47,101.235,129.29,73.18,226,4,359.04,89.76,144.91,11.66,0,0,-0.980626725432266,24,2719.82,2292,226,2292,99.6521739130435,0,0,0
237,71,"F","Canada","West","Bronze",1947,71,365,0,0,0,0,0,439,2,133.41,66.705,107.09,26.32,0,0,0,4,230.93,1748,439,1748,582.666666666667,0,0,0
247,71,"M","UK","North","Silver",1947,71,365,0,0,0,0,0,368,2,140.37,70.185,98.44,41.93,0,0,0,10,880.89,2222,368,2222,246.888888888889,0,1,64.91
257,42,"F","Other","South","Gold",1976,42,199,4,642.39,160.5975,198.93,115.94,199,11,1405.32,127.756363636364,198.93,22.23,0,0,-0.993811785454602,27,3840.82,2241,199,2241,86.1923076923077,0,1,67.8
259,62,"M","UK","North","Bronze",1956,62,365,0,0,0,0,0,377,1,61.99,61.99,61.99,61.99,0,0,0,2,119.05,1204,377,1204,1204,0,0,0
260,34,"M","USA","Central","Silver",1984,34,283,2,102.62,51.31,51.41,51.21,283,3,220.35,73.45,117.73,51.21,0,0,-0.962483586569124,10,893.02,2165,283,2165,240.555555555556,0,1,71.06
264,50,"M","Germany","North","Bronze",1968,50,365,0,0,0,0,0,482,1,54.32,54.32,54.32,54.32,0,0,0,3,126.21,2164,482,2164,1082,0,0,0
272,62,"M","Canada","Central","Silver",1956,62,147,4,347.73,86.9325,144.22,60.99,147,6,539,89.8333333333333,144.22,60.99,0,0,-0.988627640519717,15,1053.08,1990,147,1990,142.142857142857,0,0,0
276,55,"M","Other","West","Bronze",1963,55,365,0,0,0,0,0,455,1,28.78,28.78,28.78,28.78,0,0,0,4,166.29,2117,455,2117,705.666666666667,0,0,0
299,75,"F","USA","West","Gold",1943,75,339,3,321.2,107.066666666667,181.03,32.32,339,6,625.6,104.266666666667,181.03,32.32,0,0,-0.98769987699877,24,3063.21,2279,339,2279,99.0869565217391,0,0,0
308,59,"M","UK","West","Bronze",1959,59,232,1,42.68,42.68,42.68,42.68,232,2,86.27,43.135,43.59,42.68,0,0,-0.914310197086547,5,220.86,1991,232,1991,497.75,0,0,0
317,71,"F","Canada","North","Gold",1947,71,365,0,0,0,0,0,484,4,551.92,137.98,188.01,48.1,0,0,0,25,3487.3,2220,484,2220,92.5,0,0,0
321,45,"M","France","North","Bronze",1973,45,272,1,17.97,17.97,17.97,17.97,272,2,74.97,37.485,57,17.97,0,0,-0.817933545744197,3,147.84,921,272,921,460.5,0,0,0
326,68,"F","France","Central","Silver",1950,68,266,1,59.19,59.19,59.19,59.19,266,10,700.93,70.093,96.25,28.14,0,0,-0.936698844753917,16,1210.87,1978,266,1978,131.866666666667,0,1,55.36
328,62,"M","UK","West","Silver",1956,62,255,1,127.8,127.8,127.8,127.8,255,2,143.88,71.94,127.8,16.08,0,0,-0.969650986342944,11,806.31,2246,255,2246,224.6,0,0,0
330,60,"M","Germany","East","Silver",1958,60,365,0,0,0,0,0,425,3,361.86,120.62,145.61,98.21,0,0,0,8,650.93,1708,425,1708,244,0,0,0
354,62,"M","USA","North","Bronze",1956,62,290,2,97.44,48.72,61.25,36.19,290,2,97.44,48.72,61.25,36.19,0,0,-0.960567823343849,6,281.36,2097,290,2097,419.4,0,0,0
366,71,"M","France","Central","Gold",1947,71,228,2,330.86,165.43,185.22,145.64,228,4,658.56,164.64,185.22,145.64,0,0,-0.988054709430807,25,3081.02,2253,228,2253,93.875,0,0,0
376,80,"M","USA","South","Silver",1938,80,128,4,372.16,93.04,119.57,54.95,128,6,481.18,80.1966666666667,119.57,10,0,0,-0.989366227137388,13,1172.04,2196,128,2196,183,0,0,0
377,50,"M","France","North","Silver",1968,50,264,2,221.3,110.65,120.82,100.48,264,3,298.81,99.6033333333333,120.82,77.51,0,0,-0.982245894363071,6,681.83,1949,264,1949,389.8,0,0,0
381,45,"F","Canada","East","Gold",1973,45,163,3,321.68,107.226666666667,135.69,84.49,163,4,394.78,98.695,135.69,73.1,0,0,-0.987718005404078,27,3185.22,2293,163,2293,88.1923076923077,0,0,0
390,64,"F","UK","East","Gold",1954,64,312,1,78.71,78.71,78.71,78.71,312,6,743.31,123.885,176.32,78.71,0,0,-0.951638254140974,17,2321.7,2311,312,2311,144.4375,0,0,0
398,51,"M","USA","Central","Bronze",1967,51,365,0,0,0,0,0,483,2,179.22,89.61,94.41,84.81,0,0,0,6,381.25,1776,483,1776,355.2,0,0,0
415,35,"M","UK","North","Silver",1983,35,200,2,41.12,20.56,20.71,20.41,200,4,123.97,30.9925,68.84,14.01,0,0,-0.911347517730496,6,385.09,1912,200,1912,382.4,0,1,10
416,38,"F","France","North","Silver",1980,38,319,1,47.25,47.25,47.25,47.25,319,4,349.98,87.495,162.18,47.25,0,0,-0.921951219512195,11,775.78,1967,319,1967,196.7,0,0,0
424,66,"F","USA","Central","Silver",1952,66,224,2,191.63,95.815,97.46,94.17,224,4,324.5,81.125,97.46,40.09,0,0,-0.979553238255891,12,894.56,2244,224,2244,204,0,0,0
439,71,"M","Germany","East","Gold",1947,71,285,1,122.02,122.02,122.02,122.02,285,3,273.62,91.2066666666667,122.02,43.95,0,0,-0.968259006506904,14,1791.49,2074,285,2074,159.538461538462,0,1,241.92
442,60,"M","Canada","North","Silver",1958,60,365,0,0,0,0,0,440,3,236.84,78.9466666666667,111.2,23.34,0,0,0,9,708.39,2198,440,2198,274.75,0,0,0
447,73,"F","Canada","West","Silver",1945,73,365,0,0,0,0,0,429,4,361.94,90.485,176.92,10,0,0,0,13,974.12,2043,429,2043,170.25,0,0,0
454,69,"F","UK","North","Bronze",1949,69,282,1,59.53,59.53,59.53,59.53,282,2,103.21,51.605,59.53,43.68,0,0,-0.937037620022037,7,359.14,2228,282,2228,371.333333333333,0,0,0
464,42,"F","UK","Central","Silver",1976,42,365,0,0,0,0,0,458,2,85.23,42.615,53.5,31.73,0,0,0,3,95.23,2278,458,2278,1139,0,0,0
468,50,"F","France","Central","Bronze",1968,50,239,1,50.92,50.92,50.92,50.92,239,1,50.92,50.92,50.92,50.92,0,0,-0.927166788055353,4,232.5,1755,239,1755,585,0,0,0
476,61,"F","UK","North","Bronze",1957,61,212,1,58.6,58.6,58.6,58.6,212,1,58.6,58.6,58.6,58.6,0,0,-0.936102236421725,6,329.86,1988,212,1988,397.6,0,0,0
479,59,"F","USA","Central","Silver",1959,59,174,2,176.13,88.065,120.63,55.5,174,3,242.76,80.92,120.63,55.5,0,0,-0.977793815577638,7,464.63,1705,174,1705,284.166666666667,0,0,0
493,71,"M","USA","East","Bronze",1947,71,365,0,0,0,0,0,438,1,36.76,36.76,36.76,36.76,0,0,0,4,122.13,2136,438,2136,712,0,0,0
497,18,"M","Germany","North","Gold",2000,18,132,3,459.03,153.01,181,103.76,132,5,830.58,166.116,203.45,103.76,0,0,-0.991361250890871,19,2387.83,2170,132,2170,120.555555555556,0,1,106.06
503,63,"F","Canada","North","Gold",1955,63,169,2,243.31,121.655,132.48,110.83,169,5,596.92,119.384,153.09,77.09,0,0,-0.983825967409324,16,1904.14,2302,169,2302,153.466666666667,0,0,0
509,72,"F","Canada","Central","Gold",1946,72,252,4,485.99,121.4975,186.31,46.56,252,10,1186.28,118.628,186.31,46.56,0,0,-0.991836568093226,21,2370.7,2190,252,2190,109.5,0,0,0
528,73,"F","Other","South","Bronze",1945,73,213,1,60.99,60.99,60.99,60.99,213,2,96.37,48.185,60.99,35.38,0,0,-0.938452069549161,7,269.22,1494,213,1494,249,0,0,0
532,42,"F","France","South","Gold",1976,42,365,0,0,0,0,0,435,6,668.9,111.483333333333,168.26,68.07,0,0,0,17,1880.93,2287,435,2287,142.9375,0,0,0
539,64,"F","Canada","West","Bronze",1954,64,194,1,46,46,46,46,194,2,137.49,68.745,91.49,46,0,0,-0.92,9,504.03,2289,194,2289,286.125,0,0,0
541,60,"M","France","North","Bronze",1958,60,365,0,0,0,0,0,375,1,93.76,93.76,93.76,93.76,0,0,0,6,354.88,2236,375,2236,447.2,0,0,0
550,74,"F","USA","East","Silver",1944,74,194,3,273.26,91.0866666666667,110.74,52.7,194,5,341.42,68.284,110.74,10,0,0,-0.985573108273822,9,759.34,1082,194,1082,135.25,0,1,269.94
564,85,"M","USA","South","Bronze",1933,85,151,1,26.65,26.65,26.65,26.65,151,2,90.41,45.205,63.76,26.65,0,0,-0.869494290375204,4,224.28,1942,151,1942,647.333333333333,0,0,0
566,51,"F","Germany","North","Silver",1967,51,128,3,225.17,75.0566666666667,133.84,33.68,128,4,357.95,89.4875,133.84,33.68,0,0,-0.982545708426059,12,1035.42,2201,128,2201,200.090909090909,0,0,0
573,40,"F","France","Central","Silver",1978,40,121,1,97.73,97.73,97.73,97.73,121,1,97.73,97.73,97.73,97.73,0,0,-0.960680231986631,11,1018.6,2261,121,2261,226.1,0,1,34.7
581,67,"M","UK","Central","Bronze",1951,67,156,1,98.1,98.1,98.1,98.1,156,2,110.38,55.19,98.1,12.28,0,0,-0.960822722820764,7,282.56,1659,156,1659,276.5,0,0,0
587,68,"F","UK","North","Bronze",1950,68,127,1,61.96,61.96,61.96,61.96,127,1,61.96,61.96,61.96,61.96,0,0,-0.939357186173438,1,61.96,127,127,127,NA,1,0,0
593,62,"F","France","Central","Gold",1956,62,162,4,702.35,175.5875,232.36,135.84,162,9,1225.68,136.186666666667,232.36,41.96,0,0,-0.994337085014511,19,2683.24,2280,162,2280,126.666666666667,0,1,84.49
599,88,"F","USA","North","Bronze",1930,88,365,0,0,0,0,0,374,1,21.02,21.02,21.02,21.02,0,0,0,3,104.82,2185,374,2185,1092.5,0,0,0
632,59,"F","France","Central","Bronze",1959,59,129,2,34.34,17.17,24.34,10,129,2,34.34,17.17,24.34,10,0,0,-0.895670318205529,6,166.81,2261,129,2261,452.2,0,1,83.92
635,31,"M","USA","North","Bronze",1987,31,328,1,11.69,11.69,11.69,11.69,328,1,11.69,11.69,11.69,11.69,0,0,-0.745060548119822,5,152.47,1739,328,1739,434.75,0,0,0
640,62,"M","UK","South","Gold",1956,62,342,1,62.42,62.42,62.42,62.42,342,4,442.19,110.5475,162.85,62.42,0,0,-0.939777175549533,11,1259.46,2287,342,2287,228.7,0,0,0
651,56,"F","USA","East","Silver",1962,56,365,0,0,0,0,0,456,2,148.3,74.15,85.21,63.09,0,0,0,15,1214.06,2251,456,2251,160.785714285714,0,0,0
655,42,"F","USA","East","Bronze",1976,42,315,1,40.24,40.24,40.24,40.24,315,1,40.24,40.24,40.24,40.24,0,0,-0.909584086799277,5,186.19,2272,315,2272,568,0,0,0
668,35,"F","Canada","South","Silver",1983,35,254,1,45.14,45.14,45.14,45.14,254,3,273.33,91.11,146.2,45.14,0,0,-0.918599918599919,10,742.13,2255,254,2255,250.555555555556,0,0,0
680,70,"F","Canada","South","Bronze",1948,70,310,1,47.24,47.24,47.24,47.24,310,2,77.39,38.695,47.24,30.15,0,0,-0.921935987509758,3,136.48,2221,310,2221,1110.5,0,1,16.59
681,30,"F","UK","South","Silver",1988,30,365,0,0,0,0,0,439,2,102.34,51.17,71.96,30.38,0,0,0,10,696.5,2162,439,2162,240.222222222222,0,0,0
689,43,"F","Germany","South","Silver",1975,43,220,2,167.92,83.96,125.03,42.89,220,3,235.57,78.5233333333333,125.03,42.89,0,0,-0.976733364355514,11,1075.23,2123,220,2123,212.3,0,0,0
719,70,"F","Canada","North","Silver",1948,70,178,4,242.79,60.6975,75.18,41.12,178,6,351.24,58.54,94.25,14.2,0,0,-0.983791887839864,12,748.88,1867,178,1867,169.727272727273,0,1,105.28
722,70,"M","Canada","East","Bronze",1948,70,296,1,15.4,15.4,15.4,15.4,296,2,76.74,38.37,61.34,15.4,0,0,-0.793814432989691,3,137.53,1183,296,1183,591.5,0,0,0
724,57,"F","Other","South","Silver",1961,57,190,2,162.3,81.15,118.41,43.89,190,3,256.55,85.5166666666667,118.41,43.89,0,0,-0.975947083583885,8,670.35,2071,190,2071,295.857142857143,0,1,143.42
726,43,"M","Canada","Central","Gold",1975,43,365,0,0,0,0,0,421,5,598.5,119.7,276.87,47.76,0,0,0,22,2823.48,2161,421,2161,102.904761904762,0,0,0
735,56,"M","UK","East","Bronze",1962,56,191,2,76.25,38.125,45.46,30.79,191,2,76.25,38.125,45.46,30.79,0,0,-0.950155763239875,8,323.7,2271,191,2271,324.428571428571,0,0,0
738,45,"F","USA","East","Gold",1973,45,217,3,221.01,73.67,128.14,13.38,217,6,697.14,116.19,209.33,13.38,0,0,-0.982223012310564,22,2669.55,2154,217,2154,102.571428571429,0,0,0
749,31,"F","France","North","Silver",1987,31,136,2,242.17,121.085,123.73,118.44,136,4,413.86,103.465,123.73,77.97,0,0,-0.983751066336272,10,825.54,2291,136,2291,254.555555555556,0,0,0
752,51,"F","Canada","North","Gold",1967,51,346,1,112.44,112.44,112.44,112.44,346,6,652.15,108.691666666667,193.61,51.5,0,0,-0.965647543799382,20,2456.02,2289,346,2289,120.473684210526,0,0,0
755,57,"F","USA","North","Bronze",1961,57,365,0,0,0,0,0,439,3,109.03,36.3433333333333,48.45,12.32,0,0,0,4,119.03,841,439,841,280.333333333333,0,0,0
756,48,"F","USA","East","Bronze",1970,48,178,3,72.22,24.0733333333333,33.17,13,178,3,72.22,24.0733333333333,33.17,13,0,0,-0.94752033586985,3,72.22,268,178,268,134,1,1,110.12
758,44,"M","Canada","East","Bronze",1974,44,174,1,76.69,76.69,76.69,76.69,174,3,123.36,41.12,76.69,10,0,0,-0.950427562275375,5,196.45,1903,174,1903,475.75,0,0,0
765,84,"F","Canada","West","Bronze",1934,84,328,1,10,10,10,10,328,2,63.65,31.825,53.65,10,0,0,-0.714285714285714,3,94.43,913,328,913,456.5,0,0,0
776,39,"M","USA","South","Silver",1979,39,123,2,168.43,84.215,123.76,44.67,123,4,372.51,93.1275,127.5,44.67,0,0,-0.976802180595024,7,558.64,1500,123,1500,250,0,1,122.13
778,61,"F","Other","South","Bronze",1957,61,346,1,66.83,66.83,66.83,66.83,346,2,126.42,63.21,66.83,59.59,0,0,-0.943526754200198,4,184.23,1874,346,1874,624.666666666667,0,0,0
805,35,"F","USA","Central","Silver",1983,35,318,1,97.5,97.5,97.5,97.5,318,2,151.16,75.58,97.5,53.66,0,0,-0.960591133004926,7,605.14,2079,318,2079,346.5,0,0,0
812,63,"M","UK","North","Bronze",1955,63,365,0,0,0,0,0,485,1,33.62,33.62,33.62,33.62,0,0,0,3,107.83,1836,485,1836,918,0,0,0
814,78,"M","Other","East","Silver",1940,78,307,2,272.45,136.225,169.02,103.43,307,2,272.45,136.225,169.02,103.43,0,0,-0.985530837402785,10,904.55,1822,307,1822,202.444444444444,0,0,0
821,47,"M","USA","South","Silver",1971,47,247,1,104,104,104,104,247,2,156.64,78.32,104,52.64,0,0,-0.962962962962963,15,1214.55,1991,247,1991,142.214285714286,0,1,51.28
823,39,"M","France","North","Gold",1979,39,365,0,0,0,0,0,430,6,556.35,92.725,193.79,10,0,0,0,23,3152.79,2287,430,2287,103.954545454545,0,0,0
830,18,"F","Canada","South","Bronze",2000,18,185,1,65.38,65.38,65.38,65.38,185,2,126.45,63.225,65.38,61.07,0,0,-0.942346497549726,2,126.45,389,185,389,389,0,0,0
836,32,"M","USA","North","Bronze",1986,32,150,1,75.95,75.95,75.95,75.95,150,2,183.23,91.615,107.28,75.95,0,0,-0.949968730456535,6,362.95,2276,150,2276,455.2,0,1,43.46
840,35,"F","USA","North","Bronze",1983,35,340,1,86.81,86.81,86.81,86.81,340,2,148.36,74.18,86.81,61.55,0,0,-0.955951987666557,4,208.98,2285,340,2285,761.666666666667,0,0,0
846,40,"F","France","Central","Bronze",1978,40,364,1,66.97,66.97,66.97,66.97,364,2,98.06,49.03,66.97,31.09,0,0,-0.943638156967733,4,181.62,1351,364,1351,450.333333333333,0,1,48
849,53,"F","UK","Central","Silver",1965,53,167,1,70.47,70.47,70.47,70.47,167,2,198.88,99.44,128.41,70.47,0,0,-0.946287095474688,9,747.14,1878,167,1878,234.75,0,0,0
859,69,"F","USA","Central","Bronze",1949,69,126,2,142.8,71.4,76.64,66.16,126,3,189.54,63.18,76.64,46.74,0,0,-0.97275204359673,10,563.37,1978,126,1978,219.777777777778,0,0,0
861,41,"F","USA","South","Bronze",1977,41,263,1,56.07,56.07,56.07,56.07,263,1,56.07,56.07,56.07,56.07,0,0,-0.933411020476111,4,192.16,2280,263,2280,760,0,0,0
873,73,"F","USA","South","Gold",1945,73,188,4,363.52,90.88,117.33,61.66,188,8,919.34,114.9175,206.11,61.66,0,0,-0.989116238572051,20,2519.94,2137,188,2137,112.473684210526,0,0,0
877,41,"M","Canada","North","Silver",1977,41,343,1,33.58,33.58,33.58,33.58,343,5,331.61,66.322,106.68,33.58,0,0,-0.893560404470463,15,1062.51,1999,343,1999,142.785714285714,0,0,0
878,29,"F","USA","North","Bronze",1989,29,361,1,26.64,26.64,26.64,26.64,361,1,26.64,26.64,26.64,26.64,0,0,-0.869451697127937,6,388.01,2173,361,2173,434.6,0,0,0
891,36,"M","USA","West","Bronze",1982,36,236,2,37.91,18.955,27.91,10,236,2,37.91,18.955,27.91,10,0,0,-0.904557384872345,6,300.25,2276,236,2276,455.2,0,0,0
901,60,"M","USA","West","Silver",1958,60,321,1,50.45,50.45,50.45,50.45,321,2,159.4,79.7,108.95,50.45,0,0,-0.92653810835629,9,633.67,2147,321,2147,268.375,0,0,0
902,66,"M","USA","West","Gold",1952,66,226,3,444.55,148.183333333333,213.08,103.03,226,5,764.52,152.904,213.08,103.03,0,0,-0.99108237654665,25,2887.15,2266,226,2266,94.4166666666667,0,0,0
916,62,"F","Canada","North","Silver",1956,62,132,1,88.53,88.53,88.53,88.53,132,3,190.39,63.4633333333333,88.53,37.23,0,0,-0.956770777045283,13,955.73,2029,132,2029,169.083333333333,0,0,0
921,31,"M","Canada","East","Silver",1987,31,198,2,221.25,110.625,114.58,106.67,198,2,221.25,110.625,114.58,106.67,0,0,-0.982241953385128,8,678.41,2286,198,2286,326.571428571429,0,0,0
927,76,"F","USA","South","Gold",1942,76,239,2,233.11,116.555,159.02,74.09,239,6,822.64,137.106666666667,197.51,74.09,0,0,-0.983130192737548,22,2683.32,2311,239,2311,110.047619047619,0,1,54.12
931,73,"F","UK","South","Gold",1945,73,121,2,395.22,197.61,218.21,177.01,121,6,1145.61,190.935,278.86,57.89,0,0,-0.989980461900706,20,2667.99,2271,121,2271,119.526315789474,0,1,373.54
932,65,"F","Other","Central","Gold",1953,65,234,4,301.81,75.4525,126.89,10,234,7,663.01,94.7157142857143,190.94,10,0,0,-0.986919982995978,19,2336.9,2165,234,2165,120.277777777778,0,0,0
933,55,"M","Canada","North","Gold",1963,55,176,2,258.51,129.255,176.55,81.96,176,5,565.86,113.172,176.55,81.03,0,0,-0.984762485238658,15,1623.24,2299,176,2299,164.214285714286,0,0,0
939,65,"M","UK","South","Bronze",1953,65,131,2,89.05,44.525,55.35,33.7,131,4,188.12,47.03,55.35,33.7,0,0,-0.957012358946803,5,276.24,1461,131,1461,365.25,0,0,0
957,59,"F","USA","South","Bronze",1959,59,249,1,46.85,46.85,46.85,46.85,249,1,46.85,46.85,46.85,46.85,0,0,-0.92133726647001,3,133.49,1675,249,1675,837.5,0,1,83.48
